id	name	population	Wellbeing	Life Expectancy	Inequality	Ecological Footprint	HPI
USA	USA	310232863	7.0	78.8	13.0	8.2	20.7
AFG	Afghanistan	29121286	3.8	59.7	43.0	0.8	20.2
ALB	Albania	3659616	5.5	77.3	17.0	2.2	36.8
DZA	Algeria	34586184	5.6	74.3	24.0	2.1	33.3
ARG	Argentina	41343201	6.5	75.9	16.0	3.1	35.2
ARM	Armenia	2966802	4.3	74.4	22.0	2.2	25.7
AUS	Australia	21515754	7.2	82.1	8.0	9.3	21.2
AUT	Austria	8214160	7.4	81.0	7.0	6.1	30.5
BGD	Bangladesh	158065841	4.7	70.8	27.0	0.7	38.4
BLR	Belarus	9612632	5.7	70.9	13.0	5.1	21.7
BEL	Belgium	10423493	6.9	80.4	9.0	7.4	23.7
BLZ	Belize	314522	6.1	69.8	18.0	2.5	33.8
BEN	Benin	9056010	3.2	59.2	44.0	1.4	13.4
BTN	Bhutan	699847	5.6	68.7	27.0	2.3	28.6
BOL	Bolivia	9947418	6.0	67.5	35.0	3.0	23.3
BIH	Bosnia and Herzegovina	4621598	4.8	76.2	19.0	3.1	25.3
BWA	Botswana	2029307	4.8	64.2	28.0	3.8	16.6
BRA	Brazil	201103330	6.9	73.9	22.0	3.1	34.3
BGR	Bulgaria	7148785	4.2	73.9	19.0	3.3	20.4
BFA	Burkina Faso	16241811	4.0	58.0	43.0	1.2	17.9
BDI	Burundi	9863117	3.4	55.8	48.0	0.8	15.6
KHM	Cambodia	14753320	3.9	67.5	28.0	1.2	25.6
CMR	Cameroon	19294149	4.2	54.6	47.0	1.2	16.7
CAN	Canada	33759742	7.4	81.7	9.0	8.2	23.9
TCD	Chad	10543464	4.0	50.8	51.0	1.5	12.8
CHL	Chile	16746491	6.6	81.1	14.0	4.4	31.7
CHN	China	1330141295	5.1	75.4	17.0	3.4	25.7
COL	Colombia	44205293	6.4	73.7	24.0	1.9	40.7
CRI	Costa Rica	4516220	7.3	79.1	15.0	2.8	44.7
CIV	Cote d'Ivoire	21058798	3.8	50.8	45.0	1.3	14.4
HRV	Croatia	4486881	6.0	77.0	12.0	3.9	30.2
CYP	Cyprus	1102677	6.2	79.8	12.0	4.2	30.7
CZE	Czech Republic	10201707	6.3	78.2	9.0	5.2	27.3
DNK	Denmark	5515575	7.5	79.8	7.0	5.5	32.7
DJI	Djibouti	740528	4.4	61.3	42.0	2.2	16.4
DOM	Dominican Republic	9794487	4.8	73.1	30.0	1.5	30.3
ECU	Ecuador	14790608	6.0	75.4	22.0	2.2	37.0
